,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2020-01-01,0.15427433610734978,0.4457160221034009,0.5755968096999778,0.754259310658941,0.5057739765562835
2020-01-02,1.2979379485325524,-0.4019104207335395,-1.1063091119207888,0.2273702942064515,1.1817273618445534
2020-01-03,0.39461159097261883,0.8023438504875303,-0.31570365172839127,0.5003610627076384,0.931022872420039
2020-01-04,1.636180069073442,-0.25384753907715074,1.4724749136061315,0.08363581234587765,-0.6507648787845965
2020-01-05,0.26328795324883025,-0.8918407900841809,-0.973639966721412,1.7524659299305783,0.5391387734848211
2020-01-06,-1.4124782327964263,0.7648802071856259,-0.009963091835089904,-0.9144273721170605,-0.25655378099318904
2020-01-07,-0.07601745547058646,-1.0850121737629286,-0.3586254747162458,-1.5209191055743967,-0.3378669249122923
2020-01-08,-0.2769039303569859,-0.3391198880580033,-1.5777640234202708,2.5497447893069185,-1.085765879529724
2020-01-09,0.9260011020466611,0.23308222653744196,0.8037616981143023,0.49177243578182644,0.5213892269748781
2020-01-10,0.5173778890258878,-1.297220122109419,0.2107634236696179,1.0901795764986806,0.4888790576366459
2020-01-11,1.1411512494469955,-1.1919327758500418,-0.5091200810476095,-1.2340993367560886,-0.3621863296895921
2020-01-12,-1.905236543971732,-0.11597540805616934,-0.508973696775872,-0.4252279926712262,-1.2038671189753853
2020-01-13,0.09668615138044419,2.005611665335254,-0.21588226266696103,-1.129975802738889,-1.1260681104548298
2020-01-14,-1.092969363986498,-1.0099682795323548,-1.856722262027641,-0.678661634566709,-1.1530599688354204
2020-01-15,-1.239484224177419,-0.1761871198099269,-0.504604021996844,0.06919685619163524,-1.1096334093037867
2020-01-16,1.2256596808987474,-0.4644045112424092,0.7449406110655028,0.11942307956196208,0.8529956275993065
2020-01-17,0.6090440600104492,-1.1639526478179287,1.7664805779681558,-0.6775541358852425,-0.20627792814273152
2020-01-18,-1.498369857216914,0.34698861471662856,0.6743147196852005,-1.8397124984804594,1.632210312826224
2020-01-19,0.811655314573623,0.206760145336367,-1.3836123086014893,-0.004567567258124076,-0.06781649628881944
2020-01-20,0.21477380947022584,-0.6701168638656534,0.2675241048951576,-0.1499312771124026,-0.629920479140479
2020-01-21,-1.5950646899322671,0.872075816509881,1.0895482084460772,1.074696090934938,1.6526270961343001
2020-01-22,-0.6823445682408574,1.0513671990141222,0.6806721743924828,0.8650865551469213,-0.45104870427225
2020-01-23,1.283939503596653,2.905552264115897,-1.0716806696463188,-0.33817163091371316,0.44878367549174275
2020-01-24,-1.1456260682548254,0.44650255699163566,1.6348198660628204,-1.9543979566768395,0.1721043455769056
2020-01-25,-1.3951385880363847,-0.18792487731782168,-0.937633709155339,0.6362624817768444,-0.6053824825446892
2020-01-26,0.0352356092507861,0.1704338727442076,0.5482829030729117,1.057871644035338,-0.6828336802672846
2020-01-27,1.8651190332098546,-2.0121540072187565,-1.5853968000417908,-0.7524913953030471,0.3087041818756176
2020-01-28,0.5608311317914483,1.9073261030839024,-1.1311050889707241,0.6980079074530021,-0.07814997489682288
2020-01-29,0.9005931510853623,-0.6200852849788656,2.5956796247746063,0.2800262963008472,-0.246020009392836
2020-01-30,-0.4258434859438706,-0.647530434508335,-0.09790997960535137,-0.07359162188140989,0.16410077645838397
2020-01-31,0.40511061549816946,0.04280370014331748,-0.26305685316840605,-0.3132503847517709,-0.9481074466150217
2020-02-01,-0.12110913733471323,-0.09780398227445791,1.4936302266539538,0.20580776374996365,-1.4132695769204329
2020-02-02,-0.8604722996507743,-1.1275030039523204,-0.21416143972187318,1.6374284384515467,0.6505291046005001
2020-02-03,0.015080397367231319,0.20735913542097506,-0.1337313311200811,-0.7450371922369357,-0.3100194601617721
2020-02-04,0.005659543251335743,0.6170586172270777,-0.36572538295907087,-0.3928873750808149,-0.26966520358622686
2020-02-05,0.425155127860239,-0.47314072309170746,0.9236098997365878,1.528178212897793,-0.7766059843625281
2020-02-06,0.10099165628169918,-0.6485905611508288,0.9561962720804108,1.0873597937355017,-0.8738422688413511
2020-02-07,-0.51933219349917,-0.6777467283528967,1.677961221876567,0.5701486090102733,-2.1531954128533575
2020-02-08,-0.42773545289478343,-2.4181916474419314,-1.5914752724901469,-0.6314651119473629,0.9016975862500163
2020-02-09,-2.6880227231597846,-0.8826613787542013,1.068389095197109,-0.6081059239193282,1.21659082802047
2020-02-10,-1.0404678326737717,0.0009944606744425653,-0.6155579745018683,-1.268315300287011,0.23750124208676576
2020-02-11,-0.12231615337549674,-0.6951520847905102,-1.1060804463238827,0.35042076280264445,-0.03889186203465683
2020-02-12,-1.414231624833718,-0.05058232972591082,0.2924970078953667,1.8152606215554876,-1.7795138088916005
2020-02-13,1.7072345947660919,0.9126397589045601,-0.18213517169523033,-2.2443467856049906,-0.13998737359456653
2020-02-14,0.7848383939017889,-0.39769093963680463,-2.238801084642299,0.3416365988377125,-0.2269539985221426
2020-02-15,0.5862800387735874,-0.6759194613761798,-0.5847936982181621,1.1073527478582001,-0.4231093120787226
2020-02-16,0.6184838147935318,0.1796855417450962,-0.18250336609817533,1.250121460039882,0.6023428699327826
2020-02-17,-2.0636332233112316,-0.8051070291238414,-1.1111250299970636,-1.4177400107652356,-0.5108391045792565
2020-02-18,-1.0069943014223732,-0.638702759278911,-1.8098697194057,0.2676719630097942,0.3872648656588492
2020-02-19,0.43124656053783683,-0.23452432350199315,1.324699182941488,-0.28393094230624355,-1.0483808700580206
2020-02-20,-0.262514403638073,-0.7060230560635841,-0.464631373947367,1.9366416606072254,-0.6578577573329493
2020-02-21,0.48240490918564366,0.5524044156254538,-0.7030102373072671,-0.3478003374216172,-0.3633897749176988
2020-02-22,-0.8618749817199809,-1.7326751093670782,-0.4194271166381786,0.6547557136589774,0.5832919103362485
2020-02-23,0.09158545046607303,0.510921196424852,-1.7261777637831581,-0.16791357097625068,0.1060596346222628
2020-02-24,0.11708231786948839,0.6963206150607508,-1.9091572290025094,2.0340189477841,0.597860894368873
2020-02-25,-0.16068623932876894,0.5827520195810971,0.407866831472155,0.39160899585922393,-0.556329430127086
2020-02-26,0.12633124759068412,0.9396985574102784,2.2088571338454157,0.5347764337378307,-0.3222121105885682
2020-02-27,0.6618034590185513,-0.6604200050090075,2.6831057442583464,0.7860750698993877,1.491267627381335
2020-02-28,-1.2032651464769049,0.9461387655515766,-0.4995191410562491,0.8475621012180374,-1.3151459747611638
2020-02-29,0.14443577718944373,0.9893944152826801,0.6228725952713348,-0.39223068523118076,-0.15663655405691562
2020-03-01,-0.7528855696789961,3.389207596698468,0.23330077362237334,-0.9900183879799747,0.12680116750676784
2020-03-02,0.13305387549142186,-0.0470873278675438,1.6333268567513706,-1.01796451620533,-0.4473119735918585
2020-03-03,-1.4658389391163882,0.8991813490787296,2.321047097918598,-0.3146174031660635,-0.3545026965657313
2020-03-04,1.7586953632698157,-2.0331457564852395,0.4196031775396014,0.815281040651895,0.40869692413470327
2020-03-05,-1.0957334907268927,-0.37698955865641265,0.7574832385651046,0.09167610956542405,0.6216853044682983
2020-03-06,0.44715668363354183,0.1351050837381239,1.8095892081602991,0.07804889207608606,-1.041739021317728
2020-03-07,0.5456525156394623,0.4493278307996865,0.5171784046987794,-1.0346142055512566,2.772047591225283
2020-03-08,-1.294854370802776,0.41587631658213214,-1.3406217739407371,0.40684446979320854,2.609374847636892
2020-03-09,-0.7972801484886839,0.8362023244472723,-1.8137965546194956,0.21733842782224824,0.18737509254177798
2020-03-10,-0.33626718551092555,-0.9764398696377696,-0.08165384747433825,0.3477764696789034,-1.5076138446563303
2020-03-11,-0.43015477077381403,-0.3048714325088853,0.46144020327905727,-0.5590487975114777,2.7704817801811945
2020-03-12,-0.2589929902395067,0.2934984500378822,-0.4354539715965189,-0.34991079741140496,-0.1201975951203226
2020-03-13,0.16529551595851766,0.016627407528174817,-1.3008579965186975,-0.4540548925185785,0.8607872625201879
2020-03-14,-0.355177369338483,-0.1848456304930988,0.34996489303100353,-1.3339038651406756,-0.05175284442981567
2020-03-15,1.0831955508239564,-0.815865400931866,-0.8337703999358966,-1.3350623801409993,-0.12512924507671544
2020-03-16,-0.7234296982988295,0.798451189575854,-1.7435442843189743,-1.8388847946664106,0.349470222510771
2020-03-17,-0.46134987741091554,0.6546143440529022,3.0626747982429854,-0.6107967456435459,1.32598023167266
2020-03-18,-0.5386694609220831,0.9236550201781091,0.7531085890035087,0.7101274862965914,0.7292692866997503
2020-03-19,0.5651729427729272,0.4097298826852121,-0.6317302956115459,-0.5459922754072888,-0.750733223142604
2020-03-20,0.2058089783531115,0.11613950098758892,-0.4576372077189075,0.07336096988342135,0.25791290859401456
2020-03-21,0.3791812351106427,0.018609008707066166,-1.0429023411987475,0.875716974375679,-0.7252677357302847
2020-03-22,-0.11900174531277043,0.1948222767830466,1.8046255111437723,-0.0949275730242113,0.9035541196509878
